Module,Function,Parameter,Runtime (s),Samples,Sample frequency (ns),Consumption (μJ)
prime_calculation,,4000000,1.0859921370010852,16,100000,546645.6760747362
prime_calculation,,4000000,1.0405644970014691,17,100000,510541.76173784776
prime_calculation,,4000000,1.0505751489999966,16,100000,480810.4512563131
prime_calculation,,4000000,1.0688161480011331,16,100000,520587.4628945486
prime_calculation,,4000000,1.086583223001071,17,100000,489127.69089620333
prime_calculation,,4000000,1.0474461209996662,15,100000,461368.71162728337
prime_calculation,,4000000,0.9882020049990388,14,1000,528107.7206951313
prime_calculation,,4000000,1.0279719150003075,16,1000,494131.2061550468
prime_calculation,,4000000,1.0195707520015276,16,1000,480838.7746422744
