Module,Function,Parameter,Runtime (s),Samples,Consumption (μJ)
prime_calculation,,4000000,0.9951470260002679,13,515536.6463387586
prime_calculation,,4000000,0.9829091380015598,13,472652.12357013987
prime_calculation,,4000000,0.9866409250007564,13,437184.9806251786
prime_calculation,,4000000,1.0333090690000972,14,499324.2482621997
prime_calculation,,4000000,1.0096903949997795,13,507621.7917181949
prime_calculation,,4000000,1.0217072109990113,14,532200.393334665
concurrent_load_balancer,,,2.1096011059999,29,13968723.428034185
concurrent_load_balancer,,,2.071998422004981,27,18714981.60317023
concurrent_load_balancer,,,2.037031746003777,28,16342456.146965407
concurrent_load_balancer,,,2.007166698000219,26,17098640.34959204
concurrent_load_balancer,,,2.1163624559994787,26,20160652.920083985
concurrent_load_balancer,,,1.9894741959942621,24,19996694.944195904
concurrent_load_balancer,,,2.0961826970014954,27,15442577.982379131
concurrent_load_balancer,,,2.071774125994125,26,17170011.397281375
concurrent_load_balancer,,,2.0019503790026647,25,11194047.591381371
concurrent_load_balancer,,,2.070618607001961,26,19195820.421769466
